Viti,Përshkrimi,Planifikimi,Realizimi,Përqindja,tremujori
2014,Taksa për leje ndërtimi,0,7321323,0,1
2014,Legalizimi i ndërtimeve pa leje,0,0,0,1
2014,Tatimi në pronën e paluajtshme,0,5649337,0,1
2014,Licenca në biznes,0,77235,0,1
2014,Taksa për shfrytëzimin e sipërfaqes publike,0,802555,0,1
2014,Infrastruktura rrugore,0,36291,0,1
2014,Taksa nga kadastri dhe gjeodezia,0,480128,0,1
2014,Taksa për transakcion në pronë,0,590750,0,1
2014,Të hyra nga inspekcioni,0,3570,0,1
2014,Taksa për certifikata dhe dokumente zyrtare,0,288275,0,1
2014,Taksa për automjete motorrike,0,519590,0,1
2014,Taksa për shërbime arsimore,0,1132810,0,1
2014,Taksa për shërbime shëndetësore,0,263613,0,1
2014,Gjobat në trafik,0,869753,0,1
2014,Qiraja në banesa dhe renta,0,132739,0,1
2014,Të hyrat nga Parkingu & Hortikultura,0,255308,0,1
2014,Participime / Donacione,0,278074,0,1
2014,Të hyrat tjera,0,3000,0,1
2014,Shitja e Pasurisë,0,27056,0,1
2014,Agjensioni i pyjeve,0,4744,0,1
2014,Gjobat nga gjykatat,0,634240,0,1
2014,Shpronësime,0,812100,0,1
2014,Taksa për Arkivin Komunal,0,0,0,1
2015,Taksa për leje ndërtimi,0,6536565,0,1
2015,Legalizimi i ndërtimeve pa leje,0,92577,0,1
2015,Leje mjedisore komunale,0,0,0,1
2015,Tatimi në pronën e paluajtshme,0,5623478,0,1
2015,Licenca në biznes,0,78668,0,1
2015,Taksa për shfrytëzimin e sipërfaqes publike,0,989231,0,1
2015,Infrastruktura rrugore,0,50545,0,1
2015,Taksa nga kadastri dhe gjeodezia,0,457865,0,1
2015,Taksa për transakcion në pronë,0,581153,0,1
2015,Të hyra nga inspekcioni,0,9271,0,1
2015,Taksa për certifikata dhe dokumente zyrtare,0,263668,0,1
2015,Taksa për automjete motorrike,0,530345,0,1
2015,Taksa për shërbime arsimore,0,1015553,0,1
2015,Taksa për shërbime shëndetësore,0,303811,0,1
2015,Gjobat në trafik,0,375688,0,1
2015,Qiraja në banesa dhe renta,0,83304,0,1
2015,Të hyrat nga Parkingu & Hortikultura,0,290978,0,1
2015,Participime / Donacione,0,215656,0,1
2015,Të hyrat tjera,0,21055,0,1
2015,Shitja e Pasurisë,0,15371,0,1
2015,Gjobat tjera,0,9390,0,1
2015,Agjensioni i pyjeve,0,6816,0,1
2015,Gjobat nga gjykatat,0,380260,0,1
2015,Shpronësime,0,320125,0,1
2015,Taksa për Arkivin Komunal,0,275,0,1
2016,Taksa për leje ndërtimi,0,10546557,0,1
2016,Legalizimi i ndërtimeve pa leje,0,568352,0,1
2016,Leje mjedisore komunale,0,193657,0,1
2016,Tatimi në pronën e paluajtshme,0,7176272,0,1
2016,Licenca në biznes,0,83887,0,1
2016,Taksa për shfrytëzimin e sipërfaqes publike,0,1122539,0,1
2016,Infrastruktura rrugore,0,20959,0,1
2016,Taksa nga kadastri dhe gjeodezia,0,508999,0,1
2016,Taksa për transakcion në pronë,0,649950,0,1
2016,Të hyra nga inspekcioni,0,30825,0,1
2016,Taksa për certifikata dhe dokumente zyrtare,0,302087,0,1
2016,Taksa për automjete motorrike,0,563650,0,1
2016,Taksa për shërbime arsimore,0,969115,0,1
2016,Taksa për shërbime shëndetësore,0,345296,0,1
2016,Gjobat në trafik,0,389585,0,1
2016,Qiraja në banesa dhe renta,0,90270,0,1
2016,Të hyrat nga Parkingu & Hortikultura,0,407695,0,1
2016,Participime / Donacione,0,199002,0,1
2016,Të hyrat tjera,0,3000,0,1
2016,Shitja e Pasurisë,0,4234,0,1
2016,Gjobat tjera,0,0,0,1
2016,Agjensioni i pyjeve,0,4487,0,1
2016,Gjobat nga gjykatat,0,262017,0,1
2016,Shpronësime,0,0,0,1
2016,Taksa për Arkivin Komunal,0,226,0,1
2017,Taksa për leje ndërtimi,7000000,9697723,138,1
2017,Legalizimi i ndërtimeve pa leje,4000000,97487,2,1
2017,Leje mjedisore komunale,0,196189,0,1
2017,Tatimi në pronën e paluajtshme,5287375,6961321,131,1
2017,Licenca në biznes,100000,70180,70,1
2017,Taksa për shfrytëzimin e sipërfaqes publike,900000,849148,94,1
2017,Infrastruktura rrugore,20000,961839,4809,1
2017,Taksa nga kadastri dhe gjeodezia,350000,518241,148,1
2017,Taksa për transakcion në pronë,450000,665851,147,1
2017,Të hyra nga inspekcioni,0,134995,0,1
2017,Taksa për certifikata dhe dokumente zyrtare,200000,301075,150,1
2017,Taksa për automjete motorrike,400000,597125,149,1
2017,Taksa për shërbime arsimore,1000000,887275,88,1
2017,Bibloteka dhe Teatri Dodona,0,32402,0,1
2017,Taksa për shërbime shëndetësore,250000,338833,135,1
2017,Gjobat në trafik,300000,683398,227,1
2017,Qiraja në banesa dhe renta,150000,68572,45,1
2017,Të hyrat nga Parkingu & Hortikultura,2000000,323443,16,1
2017,Participime / Donacione,400000,80868,20,1
2017,Të hyrat tjera,0,29793,0,1
2017,Shitja e Pasurisë,0,333,0,1
2017,Gjobat tjera,0,0,0,1
2017,Agjensioni i pyjeve,0,3578,0,1
2017,Gjobat nga gjykatat,500000,206023,41,1
2017,Shpronësime,1300000,827468,63,1
2017,Taksa për Arkivin Komunal,0,301,0,1
2018,Taksa për leje ndërtimi,9500000,7877045,82,1
2018,Legalizimi i ndërtimeve pa leje,1500000,0,0,1
2018,Leje mjedisore komunale,200000,331051,165,1
2018,Tatimi në pronën e paluajtshme,6100000,6975295,114,1
2018,Licenca në biznes,100000,63227,63,1
2018,Taksa për shfrytëzimin e sipërfaqes publike,700000,448425,64,1
2018,Infrastruktura rrugore,30000,2451163,8170,1
2018,Taksa nga kadastri dhe gjeodezia,400000,697186,174,1
2018,Taksa për transakcion në pronë,450000,754350,167,1
2018,Të hyra nga inspekcioni,100000,81293,81,1
2018,Taksa për certifikata dhe dokumente zyrtare,200000,290052,145,1
2018,Taksa për automjete motorrike,450000,625917,139,1
2018,Taksa për shërbime arsimore,1200000,795561,66,1
2018,Bibloteka dhe Teatri Dodona,20000,39198,195,1
2018,Taksa për shërbime shëndetësore,300000,364534,121,1
2018,Gjobat në trafik,400000,1462836,365,1
2018,Qiraja në banesa ,0,4768,0,1
2018,Renta,250000,70080,28,1
2018,Parkingjet,0,95969,0,1
2018,Hortikultura,535382,305752,57,1
2018,Participime / Donacione,200000,78538,39,1
2018,Shitja e Pasurisë,0,140510,0,1
2018,Agjensioni i pyjeve,0,4795,0,1
2018,Gjobat nga gjykatat,400000,329404,82,1
2018,Shpronësime,2000000,2247044,112,1
2018,Taksa për Arkivin Komunal,0,367,0,1
2018,Appk,0,2249,0,1
2018,Mbeturinat,4488750,1590118,35,1
2018,Konfiskim i automjeteve,0,31222,0,1
2018,Të hyrat tjera,50000,0,0,1
2019,Taksa për leje ndërtimi,"6,500,000.00",9747959,150,1
2019,Legalizimi i ndërtimeve pa leje,"150,000.00",7443,0,1
2019,Leje mjedisore komunale,"400,000.00",769119,192,1
2019,Tatimi në pronën e paluajtshme,"7,939,621.00",7601297,96,1
2019,Licenca në biznes,"100,000.00",49750,50,1
2019,Taksa për shfrytëzimin e sipërfaqes publike,"500,000.00",306070,61,1
2019,Infrastruktura rrugore,"4,000,000.00",3424601,86,1
2019,Taksa nga kadastri dhe gjeodezia,"500,000.00",1157097,231,1
2019,Taksa për transakcion në pronë,"600,000.00",896851,149,1
2019,Të hyra nga inspekcioni,"100,000.00",147581,148,1
2019,Taksa për certifikata dhe dokumente zyrtare,"251,000.00",300866,120,1
2019,Taksa për automjete motorrike,"500,000.00",647850,130,1
2019,Taksa për shërbime arsimore,"1,200,000.00",741502,62,1
2019,Bibloteka dhe Teatri Dodona,"40,000.00",43924,110,1
2019,Taksa për shërbime shëndetësore,"300,000.00",401114,134,1
2019,Gjobat në trafik,"950,000.00",2290937,241,1
2019,Qiraja në banesa ,0,1594,0,1
2019,Renta,"18,000.00",67200,373,1
2019,Parkingjet,0,87953,0,1
2019,Hortikultura,"400,000.00",308051,77,1
2019,Participime / Donacione,"200,000.00",16545,8,1
2019,Shitja e Pasurisë,"10,000.00",7548,75,1
2019,Agjensioni i pyjeve,"10,000.00",2813,28,1
2019,Gjobat nga gjykatat,"400,000.00",232741,58,1
2019,Shpronësime,"2,000,000.00",8717,0,1
2019,Mbeturinat,"4,338,000.00",2077096,48,1
2019,Konfiskim i automjeteve,"300,000.00",78793,26,1
2019,Të hyrat tjera,"27,363.00",10131,37,1
2020,Taksa për leje ndërtimi,"6,500,000.00",9226062,142,1
2020,Legalizimi i ndërtimeve pa leje,"10,000.00",190412,1904,1
2020,Leje mjedisore komunale,"500,696.00",612334,122,1
2020,Tatimi në pronën e paluajtshme,"9,139,671.00",6220483,68,1
2020,Licenca në biznes,"50,000.00",89850,180,1
2020,Taksa për shfrytëzimin e sipërfaqes publike,"300,000.00",35499,12,1
2020,Infrastruktura rrugore,"2,540,000.00",2709064,107,1
2020,Taksa nga kadastri dhe gjeodezia,"700,000.00",991241,142,1
2020,Taksa për transakcion në pronë,"650,000.00",786151,121,1
2020,Të hyra nga inspekcioni,"250,000.00",87111,35,1
2020,Taksa për certifikata dhe dokumente zyrtare,"250,000.00",192607,77,1
2020,Taksa për automjete motorrike,"600,000.00",651003,109,1
2020,Taksa për shërbime arsimore,"1,000,000.00",513812,51,1
2020,Bibloteka dhe Teatri Dodona,"40,000.00",10244,26,1
2020,Taksa për shërbime shëndetësore,"400,000.00",280267,70,1
2020,Qiraja në banesa ,"40,000.00",60116,150,1
2020,Renta,0,0,0,1
2020,Hortikultura,"300,000.00",162938,54,1
2020,Participime / Donacione,0,79742,0,1
2020,Shitja e Pasurisë,"30,000.00",752,3,1
2020,Agjensioni i pyjeve,0,0,0,1
2020,Gjobat nga gjykatat,0,0,0,1
2020,Shpronësime,"1,500,000.00",0,0,1
2020,Mbeturinat,"4,338,000.00",1943819,45,1
2020,Konfiskim i automjeteve,"100,000.00",64853,65,1
2020,Të hyrat tjera,"20,000.00",1000,0,1
